Date,Open,High,Low,Close,Adj Close,Volume
1998-12-22,24.812500,25.062500,24.812500,25.031200,19.090425,5700
1998-12-23,25.187500,25.593700,25.187500,25.593700,19.519430,18100
1998-12-24,25.625000,25.750000,25.515600,25.750000,19.638632,4900
1998-12-28,25.671801,25.750000,25.375000,25.375000,19.352631,15500
1998-12-29,25.375000,25.937500,25.375000,25.937500,19.781630,5300
1998-12-30,26.000000,26.031200,25.718700,25.718700,19.614759,17300
1998-12-31,25.812500,26.000000,25.750000,26.000000,19.829292,6600
1999-01-04,26.250000,26.375000,25.781200,25.937500,19.781630,249200
1999-01-05,26.000000,26.343700,26.000000,26.343700,20.091429,4400
1999-01-06,26.531200,26.781200,26.468700,26.781200,20.425091,38500
1999-01-07,26.531200,26.687500,26.343700,26.656200,20.329760,15900
1999-01-08,26.718700,26.984301,26.718700,26.984301,20.579988,24400
1999-01-11,26.968700,27.250000,26.812500,27.046801,20.627653,7700
1999-01-12,27.125000,27.250000,26.906200,26.937500,20.544294,270700
1999-01-13,25.781200,26.875000,25.781200,26.687500,20.353632,7100
1999-01-14,26.781200,26.859301,26.375000,26.468700,20.186756,12200
1999-01-15,26.562500,26.906200,26.562500,26.828100,20.460859,7700
1999-01-19,27.281200,27.656200,27.125000,27.593700,21.044756,22700
1999-01-20,27.750000,28.125000,27.593700,27.750000,21.163956,25800
1999-01-21,27.687500,27.687500,26.718700,26.781200,20.425091,23200
1999-01-22,26.593700,26.875000,26.406200,26.671801,20.341652,67100
1999-01-25,26.687500,26.906200,26.687500,26.890600,20.508516,495300
1999-01-26,26.937500,27.031200,26.671801,27.015600,20.603855,187400
1999-01-27,27.093700,27.093700,26.750000,26.750000,20.401289,6800
1999-01-28,27.000000,27.343700,27.000000,27.250000,20.782629,25800
1999-01-29,27.281200,27.281200,26.906200,27.250000,20.782629,13800
1999-02-01,27.375000,27.468700,27.156200,27.406200,20.901754,34000
1999-02-02,26.968700,27.046801,26.625000,27.000000,20.591961,141700
1999-02-03,26.937500,27.515600,26.937500,27.515600,20.985189,38900
1999-02-04,27.343700,27.437500,27.125000,27.312500,20.830290,7400
1999-02-05,27.312500,27.312500,26.812500,27.000000,20.591961,16900
1999-02-08,27.125000,27.125000,26.875000,26.984301,20.579988,6500
1999-02-09,27.062500,27.093700,26.500000,26.500000,20.210630,220800
1999-02-10,26.312500,26.562500,26.187500,26.562500,20.258297,17800
1999-02-11,26.468700,27.281200,26.375000,27.281200,20.806427,5300
1999-02-12,27.125000,27.125000,26.718700,26.875000,20.496630,8400
1999-02-16,27.000000,27.312500,27.000000,27.125000,20.687292,18500
1999-02-17,27.062500,27.250000,26.812500,26.843700,20.472754,12900
1999-02-18,26.937500,27.203100,26.765600,27.187500,20.734959,11500
1999-02-19,27.187500,27.375000,27.187500,27.265600,20.794525,13900
1999-02-22,27.375000,27.859301,27.312500,27.843700,21.235420,17800
1999-02-23,27.906200,27.906200,27.500000,27.796801,21.199646,15000
1999-02-24,27.875000,27.984301,27.468700,27.468700,20.949421,28000
1999-02-25,27.343700,27.343700,26.875000,27.203100,20.746855,98900
1999-02-26,27.312500,27.359301,26.890600,27.281200,20.806427,10800
1999-03-01,27.218700,27.250000,26.906200,27.234301,20.770655,8800
1999-03-02,27.406200,27.640600,27.046801,27.218700,20.758755,11500
1999-03-03,27.312500,27.312500,27.000000,27.046801,20.627653,13100
1999-03-04,27.437500,27.531200,27.234301,27.531200,20.997087,10400
1999-03-05,27.937500,28.218700,27.843700,28.156200,21.473749,25400
1999-03-08,28.093700,28.187500,27.937500,28.187500,21.497629,62700
1999-03-09,27.843700,28.250000,27.812500,27.968700,21.330757,12200
1999-03-10,27.937500,28.218700,27.781200,28.218700,21.521421,10700
1999-03-11,28.218700,28.562500,28.218700,28.406200,21.664421,23600
1999-03-12,28.531200,28.656200,28.250000,28.250000,21.545290,24600
1999-03-15,28.437500,28.546801,28.218700,28.343700,21.616743,144800
1999-03-16,28.437500,28.437500,28.234301,28.281200,21.569088,9100
1999-03-17,28.187500,28.359301,28.015600,28.125000,21.449961,2700
1999-03-18,27.968700,28.515600,27.968700,28.515600,21.747860,9500
1999-03-19,28.531200,28.656200,28.281200,28.390600,21.652527,6900
1999-03-22,28.312500,28.593700,28.281200,28.312500,21.592966,40900
1999-03-23,28.250000,28.250000,27.437500,27.531200,20.997087,15400
1999-03-24,27.468700,27.656200,27.343700,27.656200,21.092422,12800
1999-03-25,27.906200,28.125000,27.750000,28.125000,21.449961,9700
1999-03-26,27.921801,28.031200,27.843700,27.906200,21.283087,6600
1999-03-29,27.937500,28.328100,27.937500,28.250000,21.545290,8100
1999-03-30,28.218700,28.359301,28.093700,28.156200,21.473749,37300
1999-03-31,28.250000,28.250000,28.000000,28.000000,21.354624,6300
1999-04-01,28.000000,28.078100,27.656200,28.000000,21.354624,22500
1999-04-05,28.437500,28.750000,28.437500,28.625000,21.831289,12400
1999-04-06,28.750000,28.875000,28.562500,28.656200,21.855087,14500
1999-04-07,28.843700,29.343700,28.843700,29.203100,22.272188,15700
1999-04-08,29.125000,29.500000,29.093700,29.500000,22.498623,29600
1999-04-09,29.500000,29.593700,29.281200,29.593700,22.570078,6600
1999-04-12,29.281200,30.343700,29.281200,30.343700,23.142084,87300
